icd9_code,label_index,code_kind,name,short_name,type,description,orpha_code,orpha_name,icd10_map,mapping_method,is_rare_disease
458.0,0,diagnosis,Orthostatic hypotension,Orthostatic hypotension,ICD-9-CM diagnosis,Orthostatic hypotension,none,none,I95.1,none,no
401.9,1,diagnosis,Unspecified essential hypertension,Hypertension NOS,ICD-9-CM diagnosis,Unspecified essential hypertension,none,none,I10,none,no
557.0,2,diagnosis,Acute vascular insufficiency of intestine,Ac vasc insuff intestine,ICD-9-CM diagnosis,Acute vascular insufficiency of intestine,none,none,K55.0,none,no
272.0,3,diagnosis,Pure hypercholesterolemia,Pure hypercholesterolem,ICD-9-CM diagnosis,Pure hypercholesterolemia,none,none,E78.0,none,no
197.6,4,diagnosis,Secondary malignant neoplasm of retroperitoneum and peritoneum,Sec mal neo peritoneum,ICD-9-CM diagnosis,Secondary malignant neoplasm of retroperitoneum and peritoneum,none,none,C78.6,none,no
40.3,5,procedure,Regional lymph node excision,Regional lymph node exc,ICD-9-CM procedure,Regional lymph node excision,none,none,07B00ZZ;07B04ZZ;07B30ZZ;07B34ZZ;07B40ZZ;07B44ZZ;07B70ZZ;07B74ZZ;07BB0ZZ;07BB4ZZ;07BF0ZZ;07BF4ZZ;07BG0ZZ;07BG4ZZ,none,no
255.41,6,diagnosis,Glucocorticoid deficiency,Glucocorticoid deficient,Disease,"Familial glucocorticoid deficiency (FGD) is a group of primary adrenal insufficiencies characterized clinically by neonatal hyperpigmentation, hypoglycemia, failure to thrive, and recurrent infections, and biochemically by glucocorticoid deficiency without mineralocorticoid deficiency.",ORPHA:361,Familial glucocorticoid deficiency,E27.1;E27.2;E27.40,name-exact,yes
478.74,7,diagnosis,Stenosis of larynx,Stenosis of larynx,ICD-9-CM diagnosis,Stenosis of larynx,none,none,J38.6,none,no
746.02,8,diagnosis,"Stenosis of pulmonary valve, congenital",Cong pulmon valve stenos,Morphological anomaly,"A rare congenital heart malformation characterized by an obstruction to flow through the pulmonary valve with a clinical presentation that may vary from critical stenosis presenting in the neonatal period to asymptomatic mild stenosis. The obstruction at the valvular level can be associated with obstruction at the subpulmonary, or supravalvar levels (valvar, subpulmonary, supravalvar pulmonary stenosis (PS).",ORPHA:3189,Congenital pulmonary valvar stenosis,Q22.1,name-exact,yes
746.4,9,diagnosis,Congenital insufficiency of aortic valve,Cong aorta valv insuffic,ICD-9-CM diagnosis,Congenital insufficiency of aortic valve,none,none,Q23.1,none,no
441.2,10,diagnosis,Thoracic aneurysm without mention of rupture,Thoracic aortic aneurysm,ICD-9-CM diagnosis,Thoracic aneurysm without mention of rupture,none,none,I71.2,none,no
560.1,11,diagnosis,Paralytic ileus,Paralytic ileus,ICD-9-CM diagnosis,Paralytic ileus,none,none,K56.0;K56.7,none,no
340,12,diagnosis,Multiple sclerosis,Multiple sclerosis,ICD-9-CM diagnosis,Multiple sclerosis,none,none,G35,none,no
337.3,13,diagnosis,Autonomic dysreflexia,Autonomic dysreflexia,ICD-9-CM diagnosis,Autonomic dysreflexia,none,none,G90.4,none,no
451.82,14,diagnosis,Phlebitis and thrombophlebitis of superficial veins of upper extremities,Phlbts sprfc vn up extrm,ICD-9-CM diagnosis,Phlebitis and thrombophlebitis of superficial veins of upper extremities,none,none,I80.8,none,no
576.1,15,diagnosis,Cholangitis,Cholangitis,ICD-9-CM diagnosis,Cholangitis,none,none,K83.0,none,no
425.4,16,diagnosis,Other primary cardiomyopathies,Prim cardiomyopathy NEC,ICD-9-CM diagnosis,Other primary cardiomyopathies,none,none,I42.5;I42.8,none,no
430,17,diagnosis,Subarachnoid hemorrhage,Subarachnoid hemorrhage,ICD-9-CM diagnosis,Subarachnoid hemorrhage,none,none,I60.9,none,no
427.89,18,diagnosis,Other specified cardiac dysrhythmias,Cardiac dysrhythmias NEC,ICD-9-CM diagnosis,Other specified cardiac dysrhythmias,none,none,I49.8;R00.1,none,no
441.4,19,diagnosis,Abdominal aneurysm without mention of rupture,Abdom aortic aneurysm,ICD-9-CM diagnosis,Abdominal aneurysm without mention of rupture,none,none,I71.4,none,no
769,20,diagnosis,Respiratory distress syndrome in newborn,Respiratory distress syn,ICD-9-CM diagnosis,Respiratory distress syndrome in newborn,none,none,P22.0,none,no
333.1,21,diagnosis,Essential and other specified forms of tremor,Tremor NEC,ICD-9-CM diagnosis,Essential and other specified forms of tremor,none,none,G25.0;G25.1;G25.2,none,no
286.7,22,diagnosis,Acquired coagulation factor deficiency,Acq coagul factor defic,ICD-9-CM diagnosis,Acquired coagulation factor deficiency,none,none,D68.32;D68.4,none,no
416.0,23,diagnosis,Primary pulmonary hypertension,Prim pulm hypertension,ICD-9-CM diagnosis,Primary pulmonary hypertension,none,none,I27.0,none,no
776.1,24,diagnosis,Transient neonatal thrombocytopenia,Neonatal thrombocytopen,ICD-9-CM diagnosis,Transient neonatal thrombocytopenia,none,none,P61.0,none,no
577.1,25,diagnosis,Chronic pancreatitis,Chronic pancreatitis,ICD-9-CM diagnosis,Chronic pancreatitis,none,none,K86.1,none,no
552.20,26,diagnosis,"Ventral, unspecified, hernia with obstruction",Obstr ventral hernia NOS,ICD-9-CM diagnosis,"Ventral, unspecified, hernia with obstruction",none,none,K43.6,none,no
785.51,27,diagnosis,Cardiogenic shock,Cardiogenic shock,Particular clinical situation in a disease or syndrome,"A rare, cardiac condition characterized by severely decreased cardiac output, hypoperfusion and end-organ dysfunction, in the presence of adequate intravascular volume. The clinical presentation is variable and may range from subtle hemodynamic alterations to overt cardiovascular collapse. Commonly reported features include dyspnea, crackles, elevated jugular venous pressure, altered mental state, abnormal pulse pressure, oliguria, cold extremities, and increased serum lactate levels.",ORPHA:97292,Cardiogenic shock,R57.0,name-exact,group
286.9,28,diagnosis,Other and unspecified coagulation defects,Coagulat defect NEC/NOS,ICD-9-CM diagnosis,Other and unspecified coagulation defects,none,none,D68.8;D68.9,none,no
286.6,29,diagnosis,Defibrination syndrome,Defibrination syndrome,ICD-9-CM diagnosis,Defibrination syndrome,none,none,D65,none,no
576.2,30,diagnosis,Obstruction of bile duct,Obstruction of bile duct,ICD-9-CM diagnosis,Obstruction of bile duct,none,none,K83.1,none,no
569.82,31,diagnosis,Ulceration of intestine,Ulceration of intestine,ICD-9-CM diagnosis,Ulceration of intestine,none,none,K63.3,none,no
518.82,32,diagnosis,"Other pulmonary insufficiency, not elsewhere classified",Other pulmonary insuff,ICD-9-CM diagnosis,"Other pulmonary insufficiency, not elsewhere classified",none,none,J80,none,no
577.2,33,diagnosis,Cyst and pseudocyst of pancreas,Pancreat cyst/pseudocyst,ICD-9-CM diagnosis,Cyst and pseudocyst of pancreas,none,none,K86.2;K86.3,none,no
273.1,34,diagnosis,Monoclonal paraproteinemia,Monoclon paraproteinemia,ICD-9-CM diagnosis,Monoclonal paraproteinemia,none,none,D47.2,none,no
E878.0,35,external-cause,"Surgical operation with transplant of whole organ causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation",Abn react-org transplant,ICD-9-CM external cause of injury/poisoning,"Surgical operation with transplant of whole organ causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation",none,none,Y83.0,none,no
452,36,diagnosis,Portal vein thrombosis,Portal vein thrombosis,Clinical syndrome,Portal vein thrombosis (PVT) is associated with acute (recent) or chronic (long-standing) thrombosis of the portal system.,ORPHA:854,Non-malignant and non-cirrhotic portal vein thrombosis,I81,icd10-ntbt+name,yes
266.2,37,diagnosis,Other B-complex deficiencies,B-complex defic NEC,ICD-9-CM diagnosis,Other B-complex deficiencies,none,none,E53.8,none,no
447.1,38,diagnosis,Stricture of artery,Stricture of artery,ICD-9-CM diagnosis,Stricture of artery,none,none,I77.1,none,no
728.86,39,diagnosis,Necrotizing fasciitis,Necrotizing fasciitis,Clinical subtype,Necrotizing fasciitis,ORPHA:699697,Necrotizing fasciitis,M72.6,name-exact,yes
579.3,40,diagnosis,Other and unspecified postsurgical nonabsorption,Intest postop nonabsorb,ICD-9-CM diagnosis,Other and unspecified postsurgical nonabsorption,none,none,K91.2,none,no
154.1,41,diagnosis,Malignant neoplasm of rectum,Malignant neopl rectum,Group of rare disorders (Orphanet),"Malignant neoplasm of rectum. Its ICD-10 equivalent (C20) is an umbrella under which Orphanet catalogues 2 narrower rare diseases, e.g. Neuroendocrine tumor of the rectum; Squamous cell carcinoma of the rectum.",multiple,Neuroendocrine tumor of the rectum; Squamous cell carcinoma of the rectum,C20,icd10-ntbt-group,group
427.1,42,diagnosis,Paroxysmal ventricular tachycardia,Parox ventric tachycard,ICD-9-CM diagnosis,Paroxysmal ventricular tachycardia,none,none,I47.2,none,no
745.5,43,diagnosis,Ostium secundum type atrial septal defect,Secundum atrial sept def,Morphological anomaly,A congenital cardiac malformation characterized by a communication between the atrial chambers of the heart.,ORPHA:1478,Interatrial communication,Q21.1,name-tail,yes
427.81,44,diagnosis,Sinoatrial node dysfunction,Sinoatrial node dysfunct,ICD-9-CM diagnosis,Sinoatrial node dysfunction,none,none,I49.5;R00.1,none,no
747.81,45,diagnosis,Anomalies of cerebrovascular system,Cerebrovascular anomaly,ICD-9-CM diagnosis,Anomalies of cerebrovascular system,none,none,Q28.2;Q28.3,none,no
286.4,46,diagnosis,Von Willebrand's disease,Von willebrand's disease,ICD-9-CM diagnosis,Von Willebrand's disease,none,none,D68.0,none,no
45.93,47,procedure,Other small-to-large intestinal anastomosis,Small-to-large bowel NEC,ICD-9-CM procedure,Other small-to-large intestinal anastomosis,none,none,0D190ZL;0D194ZL;0D198ZL;0D1A0ZH;0D1A0ZK;0D1A0ZL;0D1A0ZM;0D1A0ZN;0D1A4ZH;0D1A4ZK;0D1A4ZL;0D1A4ZM;0D1A4ZN;0D1A8ZK;0D1A8ZL;0D1A8ZM;0D1A8ZN;0D1B0ZH;0D1B0ZK;0D1B0ZL;0D1B0ZM;0D1B0ZN;0D1B4ZH;0D1B4ZK;0D1B4ZL;0D1B4ZM;0D1B4ZN;0D1B8ZK;0D1B8ZL;0D1B8ZM;0D1B8ZN,none,no
518.89,48,diagnosis,"Other diseases of lung, not elsewhere classified",Other lung disease NEC,ICD-9-CM diagnosis,"Other diseases of lung, not elsewhere classified",none,none,J98.4,none,no
693.0,49,diagnosis,Dermatitis due to drugs and medicines taken internally,Drug dermatitis NOS,ICD-9-CM diagnosis,Dermatitis due to drugs and medicines taken internally,none,none,L27.0;L27.1,none,no
510.9,50,diagnosis,Empyema without mention of fistula,Empyema w/o fistula,ICD-9-CM diagnosis,Empyema without mention of fistula,none,none,J86.9,none,no
150.4,51,diagnosis,Malignant neoplasm of middle third of esophagus,Mal neo middle 3rd esoph,ICD-9-CM diagnosis,Malignant neoplasm of middle third of esophagus,none,none,C15.4,none,no
332.0,52,diagnosis,Paralysis agitans,Paralysis agitans,Group of rare disorders (Orphanet),"Paralysis agitans. Its ICD-10 equivalent (G20) is an umbrella under which Orphanet catalogues 10 narrower rare diseases, e.g. Atypical juvenile parkinsonism; Caribbean parkinsonism; Early-onset parkinsonism-intellectual disability syndrome.",multiple,Atypical juvenile parkinsonism; Caribbean parkinsonism; Early-onset parkinsonism-intellectual disability syndrome; Hemiparkinsonism-hemiatrophy syndrome; (+6 more),G20,icd10-ntbt-group,group
421.0,53,diagnosis,Acute and subacute bacterial endocarditis,Ac/subac bact endocard,ICD-9-CM diagnosis,Acute and subacute bacterial endocarditis,none,none,I33.0,none,no
520.6,54,diagnosis,Disturbances in tooth eruption,Tooth eruption disturb,ICD-9-CM diagnosis,Disturbances in tooth eruption,none,none,K00.6;K01.0;K01.1,none,no
289.1,55,diagnosis,Chronic lymphadenitis,Chronic lymphadenitis,ICD-9-CM diagnosis,Chronic lymphadenitis,none,none,I88.1,none,no
588.1,56,diagnosis,Nephrogenic diabetes insipidus,Nephrogen diabetes insip,Disease,"A rare, genetic renal tubular disease that is characterized by polyuria with polydipsia, recurrent bouts of fever, constipation, and acute hypernatremic dehydration after birth that may cause neurological sequelae.",ORPHA:223,Arginine vasopressin resistance,N25.1,name-exact,yes
112.3,57,diagnosis,Candidiasis of skin and nails,Cutaneous candidiasis,ICD-9-CM diagnosis,Candidiasis of skin and nails,none,none,B37.2,none,no
282.49,58,diagnosis,Other thalassemia,Thalassemia NEC,ICD-9-CM diagnosis,Other thalassemia,none,none,D56.8,none,no
E879.1,59,external-cause,"Kidney dialysis as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure",Abn react-renal dialysis,ICD-9-CM external cause of injury/poisoning,"Kidney dialysis as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure",none,none,Y84.1,none,no
447.6,60,diagnosis,"Arteritis, unspecified",Arteritis NOS,ICD-9-CM diagnosis,"Arteritis, unspecified",none,none,I77.6,none,no
569.83,61,diagnosis,Perforation of intestine,Perforation of intestine,ICD-9-CM diagnosis,Perforation of intestine,none,none,K63.1,none,no
146.9,62,diagnosis,"Malignant neoplasm of oropharynx, unspecified site",Malig neo oropharynx NOS,ICD-9-CM diagnosis,"Malignant neoplasm of oropharynx, unspecified site",none,none,C10.9,none,no
756.0,63,diagnosis,Anomalies of skull and face bones,Anomal skull/face bones,ICD-9-CM diagnosis,Anomalies of skull and face bones,none,none,Q75.0;Q75.2;Q75.9,none,no
758.89,64,diagnosis,Other conditions due to chromosome anomalies,Oth con d/t chrm anm NEC,ICD-9-CM diagnosis,Other conditions due to chromosome anomalies,none,none,Q99.8,none,no
251.8,65,diagnosis,Other specified disorders of pancreatic internal secretion,Pancreatic disorder NEC,ICD-9-CM diagnosis,Other specified disorders of pancreatic internal secretion,none,none,E16.8,none,no
714.89,66,diagnosis,Other specified inflammatory polyarthropathies,Inflamm polyarthrop NEC,ICD-9-CM diagnosis,Other specified inflammatory polyarthropathies,none,none,M06.4,none,no
45.91,67,procedure,Small-to-small intestinal anastomosis,Sm-to-sm bowel anastom,ICD-9-CM procedure,Small-to-small intestinal anastomosis,none,none,0D190Z9;0D190ZA;0D190ZB;0D194Z9;0D194ZA;0D194ZB;0D198Z9;0D198ZA;0D198ZB;0D1A0ZA;0D1A0ZB;0D1A4ZA;0D1A4ZB;0D1A8ZA;0D1A8ZB;0D1A8ZH;0D1B0ZB;0D1B4ZB;0D1B8ZB;0D1B8ZH,none,no
333.82,68,diagnosis,Orofacial dyskinesia,Orofacial dyskinesia,ICD-9-CM diagnosis,Orofacial dyskinesia,none,none,G24.4,none,no
253.2,69,diagnosis,Panhypopituitarism,Panhypopituitarism,ICD-9-CM diagnosis,Panhypopituitarism,none,none,E23.0,none,no
253.5,70,diagnosis,Diabetes insipidus,Diabetes insipidus,ICD-9-CM diagnosis,Diabetes insipidus,none,none,E23.2,none,no
351.8,71,diagnosis,Other facial nerve disorders,Facial nerve dis NEC,ICD-9-CM diagnosis,Other facial nerve disorders,none,none,G51.2;G51.4;G51.8,none,no
257.2,72,diagnosis,Other testicular hypofunction,Testicular hypofunc NEC,ICD-9-CM diagnosis,Other testicular hypofunction,none,none,E29.1,none,no
751.2,73,diagnosis,"Atresia and stenosis of large intestine, rectum, and anal canal",Atresia large intestine,ICD-9-CM diagnosis,"Atresia and stenosis of large intestine, rectum, and anal canal",none,none,Q42.9,none,no
741.90,74,diagnosis,"Spina bifida without mention of hydrocephalus, unspecified region",Spina bifida,ICD-9-CM diagnosis,"Spina bifida without mention of hydrocephalus, unspecified region",none,none,Q05.8,none,no
348.0,75,diagnosis,Cerebral cysts,Cerebral cysts,ICD-9-CM diagnosis,Cerebral cysts,none,none,G93.0,none,no
747.0,76,diagnosis,Patent ductus arteriosus,Patent ductus arteriosus,ICD-9-CM diagnosis,Patent ductus arteriosus,none,none,Q25.0,none,no
457.8,77,diagnosis,Other noninfectious disorders of lymphatic channels,Noninfect lymph dis NEC,ICD-9-CM diagnosis,Other noninfectious disorders of lymphatic channels,none,none,I89.8,none,no
211.3,78,diagnosis,Benign neoplasm of colon,Benign neoplasm lg bowel,ICD-9-CM diagnosis,Benign neoplasm of colon,none,none,D12.0;D12.1;D12.6;K63.5,none,no
351.0,79,diagnosis,Bell's palsy,Bell's palsy,ICD-9-CM diagnosis,Bell's palsy,none,none,G51.0,none,no
253.6,80,diagnosis,Other disorders of neurohypophysis,Neurohypophysis dis NEC,ICD-9-CM diagnosis,Other disorders of neurohypophysis,none,none,E22.2,none,no
770.82,81,diagnosis,Other apnea of newborn,Other apnea of newborn,ICD-9-CM diagnosis,Other apnea of newborn,none,none,P28.4,none,no
571.6,82,diagnosis,Biliary cirrhosis,Biliary cirrhosis,Disease,"A rare autoimmune cholestatic liver disease characterized by autoimmune mediated damage of small intrahepatic bile ducts leading to cholestasis, fibrosis, and potential cirrhosis.",ORPHA:186,Primary biliary cholangitis,K74.3;K74.4;K74.5,name-exact,yes
571.42,83,diagnosis,Autoimmune hepatitis,Autoimmune hepatitis,Disease,"A rare liver disease characterized by immune-mediated, acute or chronic liver inflammation, clinically presenting as cryptogenic hepatitis, with interface hepatitis on histological examination, elevated serum aminotransferase levels, and hypergammaglobulinemia / elevated immunoglobulin G, in the presence or absence of specific circulating autoantibodies. Patients may be asymptomatic, chronically ill, or present with acute liver failure. Concurrent autoimmune diseases are frequently observed.",ORPHA:2137,Autoimmune hepatitis,K75.4,name-exact,yes
157.9,84,diagnosis,"Malignant neoplasm of pancreas, part unspecified",Malig neo pancreas NOS,ICD-9-CM diagnosis,"Malignant neoplasm of pancreas, part unspecified",none,none,C25.9,none,no
157.1,85,diagnosis,Malignant neoplasm of body of pancreas,Mal neo pancreas body,ICD-9-CM diagnosis,Malignant neoplasm of body of pancreas,none,none,C25.1,none,no
790.5,86,diagnosis,Other nonspecific abnormal serum enzyme levels,Abn serum enzy level NEC,ICD-9-CM diagnosis,Other nonspecific abnormal serum enzyme levels,none,none,R74.8,none,no
519.19,87,diagnosis,Other diseases of trachea and bronchus,Trachea & bronch dis NEC,ICD-9-CM diagnosis,Other diseases of trachea and bronchus,none,none,J39.8;J98.09,none,no
182.0,88,diagnosis,"Malignant neoplasm of corpus uteri, except isthmus",Malig neo corpus uteri,ICD-9-CM diagnosis,"Malignant neoplasm of corpus uteri, except isthmus",none,none,C54.1;C54.2;C54.3;C54.9,none,no
776.7,89,diagnosis,Transient neonatal neutropenia,Neonatal neutropenia,Disease,Transient neonatal neutropenia,ORPHA:37629,Neonatal neutropenia,P61.5,name-tail,yes
272.6,90,diagnosis,Lipodystrophy,Lipodystrophy,ICD-9-CM diagnosis,Lipodystrophy,none,none,E88.1,none,no
333.2,91,diagnosis,Myoclonus,Myoclonus,ICD-9-CM diagnosis,Myoclonus,none,none,G25.3,none,no
212.7,92,diagnosis,Benign neoplasm of heart,Benign neoplasm heart,ICD-9-CM diagnosis,Benign neoplasm of heart,none,none,D15.1,none,no
748.5,93,diagnosis,"Agenesis, hypoplasia, and dysplasia of lung",Agenesis of lung,ICD-9-CM diagnosis,"Agenesis, hypoplasia, and dysplasia of lung",none,none,Q33.2;Q33.3;Q33.6,none,no
753.15,94,diagnosis,Renal dysplasia,Renal dysplasia,Morphological anomaly,"A rare renal malformation in which the kidney(s) are present but their development is abnormal, leading to malformation of histologic architecture of the kidney and presence of embryological tissue such as mesenchymal collarettes or other forms of undifferentiated and metaplastic tissues. Renal dysplasia can be unilateral or bilateral, segmental, and of variable severity.",ORPHA:93108,Renal dysplasia,Q61.4,name-exact,yes
343.0,95,diagnosis,Congenital diplegia,Congenital diplegia,ICD-9-CM diagnosis,Congenital diplegia,none,none,G80.1,none,no
478.29,96,diagnosis,"Other diseases of pharynx, not elsewhere classified",Disease of pharynx NEC,ICD-9-CM diagnosis,"Other diseases of pharynx, not elsewhere classified",none,none,J39.2,none,no
318.2,97,diagnosis,Profound intellectual disabilities,Profnd intellct disablty,ICD-9-CM diagnosis,Profound intellectual disabilities,none,none,F73,none,no
191.9,98,diagnosis,"Malignant neoplasm of brain, unspecified",Malig neo brain NOS,ICD-9-CM diagnosis,"Malignant neoplasm of brain, unspecified",none,none,C71.9,none,no
710.1,99,diagnosis,Systemic sclerosis,Systemic sclerosis,Disease,"Systemic sclerosis (SSc) is a generalized disorder of small arteries, microvessels and connective tissue, characterized by fibrosis and vascular obliteration in the skin and organs, particularly the lungs, heart, and digestive tract. There are two main subsets of SSc: diffuse cutaneous SSc (dcSSc) and limited cutaneous SSc (lcSSc). A third subset of SSc has also been observed, called limited Systemic Sclerosis (lSSc) or systemic sclerosis sine scleroderma.",ORPHA:90291,Systemic sclerosis,M34.0;M34.1;M34.9,name-exact,yes
519.3,100,diagnosis,"Other diseases of mediastinum, not elsewhere classified",Mediastinum disease NEC,ICD-9-CM diagnosis,"Other diseases of mediastinum, not elsewhere classified",none,none,J98.5,none,no
777.1,101,diagnosis,Meconium obstruction in fetus or newborn,Meconium obstruction,ICD-9-CM diagnosis,Meconium obstruction in fetus or newborn,none,none,P76.0,none,no
743.65,102,diagnosis,Specified congenital anomalies of lacrimal passages,Spec lacrimal pass anom,ICD-9-CM diagnosis,Specified congenital anomalies of lacrimal passages,none,none,Q10.4;Q10.6,none,no
518.3,103,diagnosis,Pulmonary eosinophilia,Pulmonary eosinophilia,Clinical group,Pulmonary eosinophilia,ORPHA:182101,Idiopathic eosinophilic pneumonia,J82,icd10-exact-E,group
709.2,104,diagnosis,Scar conditions and fibrosis of skin,Scar & fibrosis of skin,ICD-9-CM diagnosis,Scar conditions and fibrosis of skin,none,none,L90.5,none,no
185,105,diagnosis,Malignant neoplasm of prostate,Malign neopl prostate,ICD-9-CM diagnosis,Malignant neoplasm of prostate,none,none,C61,none,no
277.1,106,diagnosis,Disorders of porphyrin metabolism,Dis porphyrin metabolism,ICD-9-CM diagnosis,Disorders of porphyrin metabolism,none,none,E80.0;E80.20;E80.29,none,no
746.3,107,diagnosis,Congenital stenosis of aortic valve,Cong aorta valv stenosis,ICD-9-CM diagnosis,Congenital stenosis of aortic valve,none,none,Q23.0,none,no
245.2,108,diagnosis,Chronic lymphocytic thyroiditis,Chr lymphocyt thyroidit,ICD-9-CM diagnosis,Chronic lymphocytic thyroiditis,none,none,E06.3,none,no
482.1,109,diagnosis,Pneumonia due to Pseudomonas,Pseudomonal pneumonia,ICD-9-CM diagnosis,Pneumonia due to Pseudomonas,none,none,J15.1,none,no
674.51,110,diagnosis,"Peripartum cardiomyopathy, delivered, with or without mention of antepartum condition",Peripartum cardiomy-del,ICD-9-CM diagnosis,"Peripartum cardiomyopathy, delivered, with or without mention of antepartum condition",none,none,O90.3,none,no
235.7,111,diagnosis,"Neoplasm of uncertain behavior of trachea, bronchus, and lung",Unc behav neo lung,ICD-9-CM diagnosis,"Neoplasm of uncertain behavior of trachea, bronchus, and lung",none,none,D38.1,none,no
238.71,112,diagnosis,Essential thrombocythemia,Essntial thrombocythemia,Disease,Essential thrombocythemia (ET) is a myeloproliferative neoplasm (MPN) characterized by a sustained elevation of platelet number (> 450 x 109/L) with a tendency for thrombosis and hemorrhage.,ORPHA:3318,Essential thrombocythemia,D47.3,name-exact,yes
110.8,113,diagnosis,Dermatophytosis of other specified sites,Dermatophytosis site NEC,ICD-9-CM diagnosis,Dermatophytosis of other specified sites,none,none,B35.8,none,no
401.1,114,diagnosis,Benign essential hypertension,Benign hypertension,ICD-9-CM diagnosis,Benign essential hypertension,none,none,I10,none,no
567.89,115,diagnosis,Other specified peritonitis,Peritonitis NEC,ICD-9-CM diagnosis,Other specified peritonitis,none,none,K65.8,none,no
751.69,116,diagnosis,"Other anomalies of gallbladder, bile ducts, and liver",Biliary & liver anom NEC,ICD-9-CM diagnosis,"Other anomalies of gallbladder, bile ducts, and liver",none,none,Q44.1;Q44.4;Q44.5;Q44.7,none,no
745.4,117,diagnosis,Ventricular septal defect,Ventricular sept defect,ICD-9-CM diagnosis,Ventricular septal defect,none,none,Q21.0,none,no
747.42,118,diagnosis,Partial anomalous pulmonary venous connection,Part anom pulm ven conn,ICD-9-CM diagnosis,Partial anomalous pulmonary venous connection,none,none,Q26.3,none,no
537.3,119,diagnosis,Other obstruction of duodenum,Duodenal obstruction NEC,ICD-9-CM diagnosis,Other obstruction of duodenum,none,none,K31.5,none,no
318.1,120,diagnosis,Severe intellectual disabilities,Sev intellect disability,ICD-9-CM diagnosis,Severe intellectual disabilities,none,none,F72,none,no
590.10,121,diagnosis,Acute pyelonephritis without lesion of renal medullary necrosis,Ac pyelonephritis NOS,ICD-9-CM diagnosis,Acute pyelonephritis without lesion of renal medullary necrosis,none,none,N10,none,no
277.6,122,diagnosis,Other deficiencies of circulating enzymes,Defic circul enzyme NEC,ICD-9-CM diagnosis,Other deficiencies of circulating enzymes,none,none,D84.1,none,no
286.0,123,diagnosis,Congenital factor VIII disorder,Cong factor viii diord,Disease,A rare genetic hematological disorder characterized by spontaneous or prolonged hemorrhages due to factor VIII deficiency.,ORPHA:98878,Hemophilia A,D66,icd10-exact-E,yes
457.1,124,diagnosis,Other lymphedema,Other lymphedema,ICD-9-CM diagnosis,Other lymphedema,none,none,I89.0,none,no
757.33,125,diagnosis,Congenital pigmentary anomalies of skin,Cong skin pigment anomal,ICD-9-CM diagnosis,Congenital pigmentary anomalies of skin,none,none,Q82.1;Q82.2,none,no
237.5,126,diagnosis,Neoplasm of uncertain behavior of brain and spinal cord,Unc beh neo brain/spinal,ICD-9-CM diagnosis,Neoplasm of uncertain behavior of brain and spinal cord,none,none,D43.2;D43.4,none,no
213.0,127,diagnosis,Benign neoplasm of bones of skull and face,Ben neo skull/face bone,ICD-9-CM diagnosis,Benign neoplasm of bones of skull and face,none,none,D16.4,none,no
150.8,128,diagnosis,Malignant neoplasm of other specified part of esophagus,Mal neo esophagus NEC,ICD-9-CM diagnosis,Malignant neoplasm of other specified part of esophagus,none,none,C15.8,none,no
157.4,129,diagnosis,Malignant neoplasm of islets of langerhans,Mal neo islet langerhans,ICD-9-CM diagnosis,Malignant neoplasm of islets of langerhans,none,none,C25.4,none,no
251.1,130,diagnosis,Other specified hypoglycemia,Oth spcf hypoglycemia,ICD-9-CM diagnosis,Other specified hypoglycemia,none,none,E16.0;E16.1,none,no
753.0,131,diagnosis,Renal agenesis and dysgenesis,Renal agenesis,ICD-9-CM diagnosis,Renal agenesis and dysgenesis,none,none,Q60.2;Q60.5,none,no
743.61,132,diagnosis,Congenital ptosis,Congenital ptosis,ICD-9-CM diagnosis,Congenital ptosis,none,none,Q10.0,none,no
238.4,133,diagnosis,Polycythemia vera,Polycythemia vera,Disease,"A rare acquired myeloproliferative neoplasm characterized by an elevated absolute red blood cell mass (RBCM) caused by uncontrolled red blood cell production, frequently associated with uncontrolled white blood cell and platelet production.",ORPHA:729,Polycythemia vera,D45,icd10-exact-E,yes
579.0,134,diagnosis,Celiac disease,Celiac disease,ICD-9-CM diagnosis,Celiac disease,none,none,K90.0,none,no
745.2,135,diagnosis,Tetralogy of fallot,Tetralogy of fallot,Malformation syndrome,"Tetralogy of Fallot is a congenital cardiac malformation that consists of an interventricular communication, also known as a ventricular septal defect, obstruction of the right ventricular outflow tract, override of the ventricular septum by the aortic root, and right ventricular hypertrophy.",ORPHA:3303,Tetralogy of Fallot,Q21.3,name-exact,yes
753.19,136,diagnosis,Other specified cystic kidney disease,Cystic kidney diseas NEC,ICD-9-CM diagnosis,Other specified cystic kidney disease,none,none,Q61.02;Q61.8,none,no
252.01,137,diagnosis,Primary hyperparathyroidism,Primary hyperparathyroid,ICD-9-CM diagnosis,Primary hyperparathyroidism,none,none,E21.0,none,no
245.8,138,diagnosis,Other and unspecified chronic thyroiditis,Chr thyroiditis NEC/NOS,ICD-9-CM diagnosis,Other and unspecified chronic thyroiditis,none,none,E06.5,none,no
451.84,139,diagnosis,"Phlebitis and thrombophlebitis of upper extremities, unspecified",Phlbts vn NOS up extrm,ICD-9-CM diagnosis,"Phlebitis and thrombophlebitis of upper extremities, unspecified",none,none,I80.8,none,no
